filename,Date (Farsi),Date (Gregorian),Date (Normalized),Place (English),Place (Farsi),City (English-LCSH),City (Farsi),Country (English),Country (Farsi),Description (English),Description (Farsi),Keywords/Chants/Slogans (English),Keywords/Chants/Slogans (Farsi),Names (English),Names (Farsi),Title (English),Title (Farsi),Physical Type,Genre (English),"Lat, Lon"
rasatv3_025.mp4,۱۳۹۰/۰۳/۱۷,6/7/11,2011-06-07,,,Tehran (Iran),تهران,Iran,ایران,In this video RASA TV narrates the history of ancient Iran. ,در این ویدیو تلویزیون رسا به بازگویی تاریخ کهن ایران می,RASA TV / History ,تاریخ / تلویزیون رسا,,,Narrative of Iranian History,بازگویی تاریخ ایران,moving image,Television programs,"35.69439, 51.42151"
rasatv3_026.mp4,۱۳۹۰/۰۳/۲۵,6/15/11,2011-06-15,,,Tehran (Iran),تهران,Iran,ایران,This video is a RASA TV report on the events that led to the hunger-strike and eventually death of Hoda Saber.,این ویدیو به گزارش تلویزیون رسا از وقایعی که به اعتصاب غذا و سر انجام مرگ هدی صابر ختم شد اختصاص داده شده است.,RASA TV / Hunger Strike / Prisoner of Conscience,زندانی عقیدتی,Hoda Saber,هدی صابر ,RASA TV report,گزارش تلویزیون رسا,moving image,Television programs,"35.69439, 51.42151"
rasatv3_027.mp4,۱۳۸۹/۱۲/۲۴,5/15/11,2011-05-15,,,Tehran (Iran),تهران,Iran,ایران,This video is a RASA TV report on the Iranian conservatives being in turmoil over a new round of Green Movement protests.,این ویدیو به گزارش تلویزیون رسا پیرامون آشفتگی,RASA TV / Conservatives,محافظه کاران / تلویزیون رسا,,,RASA TV report,گزارش تلویزیون رسا,moving image,Television programs,"35.69439, 51.42151"
rasatv3_028.mp4,۱۳۹۰/۰۴/۲۲,7/13/11,2011-07-13,,,Tehran (Iran),تهران,Iran,ایران,This video is a RASA TV report on the implementation of gender segregation at universities throughout Iran.,این ویدیو به گزارش تلویزون رسا پیرامون اجرای طرح تفکیک جنسیتی در دانشگاههای ایران اختصاص داده شده است.,RASA TV / Gender Segregation / Human Rights,حقوق بشر / تفکیک جنسیتی / تلویزون رسا,,,RASA TV report,گزارش تلویزیون رسا,moving image,Television programs,"35.69439, 51.42151"
rasatv3_029.mp4,۱۳۹۰/۰۳/۱۵,7/5/11,2011-07-05,,,Tehran (Iran),تهران,Iran,ایران,This video is a RASA TV report on the despotism of law throughout the history of Iran.,این ویدیو به گزارش تلویزون رسا پیرامون استبداد مطلقهٔ قانون در طول تاریخ ایران اختصاص داده شده است.,RASA TV / Despotism of Law ,استبداد مطلقهٔ قانون / تلویزون رسا,,,RASA TV report,گزارش تلویزیون رسا,moving image,Television programs,"35.69439, 51.42151"
rasatv3_030.mp4,۱۳۹۰/۰۹/۱۸,12/9/11,2011-12-09,,,Tehran (Iran),تهران,Iran,ایران,"This video is a RASA TV report on the ongoing hunger-strike of Reza Shahabi, a political prisoner in Iran. ",این ویدیو به گزارش تلویزون رسا پیرامون ادامه اعتصاب غذای رضا شهابی، زندانی سیاسی در ایران، اختصاص داده شده است.,RASA TV / Hunger Strike / Prisoner of Conscience,زندانی عقیدتی,Reza Shahabi,رضا شهابی,RASA TV report,گزارش تلویزیون رسا,moving image,Television programs,"35.69439, 51.42151"
rasatv3_031.mp4,۱۳۹۰/۰۹/۲۰,12/11/11,2011-12-11,,,Moscow (Russia),مسکو,Russia,روسیه,This video is a RASA TV report on the public protests against parliamentary election in Russia.  ,این ویدیو به گزارش تلویزون رسا پیرامون اعتراضات به انتخابات پارلمانی در روسیه اختصاص داده شده است.,RASA TV / Parliamentary Elections,انتخابات مجلس / تلویزون رسا,,,RASA TV report,گزارش تلویزیون رسا,moving image,Television programs,"55.755826, 37.6173"
rasatv3_032.mp4,۱۳۹۰/۰۳/۰۹,5/30/11,2011-05-30,,,Tehran (Iran),تهران,Iran,ایران,This video is a RASA TV report on Iran’s ninth parliamentary election.,این ویدیو به گزارش تلویزون رسا پیرامون انتخابات مجلس نهم در ایران اختصاص داده شده است .,RASA TV / Parliamentary Elections,انتخابات مجلس / تلویزون رسا,,,RASA TV report,گزارش تلویزیون رسا,moving image,Television programs,"35.69439, 51.42151"
rasatv3_033.mp4,۱۳۹۰/۰۲/۲۱,5/11/11,2011-05-11,,,Tehran (Iran),تهران,Iran,ایران,This video is a RASA TV report on the attempt of Iranian media to discredit the Green Movement protesters by labeling them as blind followers.,این ویدیو به گزارش تلویزون رسا پیرامون تلاش رسانه,RASA TV / National Media,رسانه,,,RASA TV report,گزارش تلویزیون رسا,moving image,Television programs,"35.69439, 51.42151"
rasatv3_034.mp4,۱۳۹۰/۰۲/۱۰,4/30/11,2011-04-30,,,Tehran (Iran),تهران,Iran,ایران,This video is a RASA TV report on a statement released by Coordination Council of the Green Path of Hope regarding the International Labor Day.,این ویدیو به گزارش تلویزون رسا پیرامون بیانیه شورای هماهنگی,RASA TV / Coordination Council of the Green Path of Hope / Labor Day,روز کارگر / شورای هماهنگی,,,RASA TV report,گزارش تلویزیون رسا,moving image,Television programs,"35.69439, 51.42151"
rasatv3_035.mp4,۱۳۹۰/۰۲/۱۷,5/7/11,2011-05-07,,,Tehran (Iran),تهران,Iran,ایران,This video is a RASA TV report on a joint statement released by labor unions in Iran on the International Labor Day.,این ویدیو به گزارش تلویزون رسا پیرامون بیانیه منتشر شده توسط تشکلهای کارگری در ایران برای روز جهانی,RASA TV / Labor Movement,جنبش کارگری / تلویزون رسا,,,RASA TV report,گزارش تلویزیون رسا,moving image,Television programs,"35.69439, 51.42151"
rasatv3_036.mp4,۱۳۹۰/۳/۱۴,6/4/11,2011-06-04,,,Tehran (Iran),تهران,Iran,ایران,This video is a RASA TV report on a statement released by Coordination Council of the Green Path of Hope in June of 2011.,این ویدیو به گزارش تلویزون رسا پیرامون بیانیه منتشر شده از شورای هماهنگی,RASA TV / Green Movement,جنبش سبز / تلویزون رسا,,,RASA TV report,گزارش تلویزیون رسا,moving image,Television programs,"35.69439, 51.42151"
rasatv3_037.mp4,۱۳۹۰/۰۳/۰۷,5/28/11,2011-05-28,,,Tehran (Iran),تهران,Iran,ایران,This video is a RASA TV report on the comments made by Mostafa Tajzadeh about Mohammad Khatami’s recent speech and the reaction of reformists to those comments.,این ویدیو به گزارش تلویزون رسا پیرامون نظرات مصطفی تاجزاده در مورد سخنان اخیر محمد خاتمی و واکنش اصلاح طلبان به این نظرات اختصاص داده شده است.,RASA TV / Reform,اصلاحات / تلویزون رسا,Mostafa Tajzadeh / Mohammad Khatami,  محمد خاتمی / مصطفی تاجزاده,RASA TV report,گزارش تلویزیون رسا,moving image,Television programs,"35.69439, 51.42151"
rasatv3_038.mp4,۱۳۹۰/۰۳/۰۴,5/25/11,2011-05-25,,,Tehran (Iran),تهران,Iran,ایران,This video is a RASA TV report on Mohammad Khatami’s recent speech about the Green Movement and the reaction of reformists to the speech.,این ویدیو به گزارش تلویزون رسا پیرامون سخنان اخیر محمد خاتمی در ارتباط با جنبش سبز و واکنش اصلاح طلبان به آن اختصاص داده شده است.,RASA TV / Reform,اصلاحات / تلویزون رسا ,Mohammad Khatami,  محمد خاتمی,RASA TV report,گزارش تلویزیون رسا,moving image,Television programs,"35.69439, 51.42151"
