filename,Date (Farsi),Date (Gregorian),Date (Normalized),Place (English),Place (Farsi),City (English-LCSH),City (Farsi),Country (English),Country (Farsi),Description (English),Description (Farsi),Keywords / Chants / Slogans (English),Keywords / Chants / Slogans (Farsi),Names (English),Names (Farsi),Title (English),Title (Farsi),Physical Type,Genre (English),Genre (Farsi),"Lat, Lon"
khiz0026.mp4,۱۳۸۸/۱۱/۲۲,2/11/2010,2010-02-11,Vesal st,خیابان وصال,Tehran,تهران,Iran,ایران,"This video shows Iranian protesters chanting ""Down with Russia."" This started after hearing reports that Russia welcomed Ahmadinejad's victory and was allegedly assisting Iranian riot police and the Islamic Revolutionary Guard Corps.","این ویدیو سر دادن شعار ""مرگ بر روسیه"" توسط تظاهر کنندگان ایرانی‌ را نشان میدهد. این واقعه پس از رسیدن خبرِ تبریک روسیه برای پیروزی احمدی‌ نژاد و شایعات کمک روسیه به پلیس ضد شورش و سپاه ایران رخ داد.",Islamic Revolutionary Guard Corps / Protest ,سپاه پاسداران انقلاب اسلامی / تظاهرات ,Mahmoud Ahmadinejad,محمود احمدی‌ نژاد,Protest in Tehran,تظاهرات در تهران,moving image,digital moving image formats / video recordings,در قالب ویدیو دیجیتالی / در قالب ویدیو دیجیتالی ,"35.708808, 51.397226"
khiz0027.mp4,۱۳۸۸/۱۱/۲۲,2/11/2010,2010-02-11,Simon Fraser University ,دانشگاه سایمون فریزر,Vancouver,ونکوور,Canada,کانادا,This video shows photos of a protest in Vancouver in support of the Green Movement.,در ویدیو عکسهایی از تظاهرات در ونکوور در حمایت از جنبش سبز را نشان میدهد.,Global Support for Iran,حمایت جهانی برای ایران,,,Protest in Vancouver,تظاهرات در ونکوور,moving image,digital moving image formats / video recordings,در قالب ویدیو دیجیتالی / در قالب ویدیو دیجیتالی ,"49.284684, -123.112047"
khiz0028.mp4,۱۳۸۹/۰۳/۲۲,6/12/2010,2010-06-12,,,,,Iran,ایران,Official trailer of a movie named “22 Khordad (June 10th)” which is about the Green Movement in Iran.,"تیزر فیلمی به نام ""۲۲ خرداد"" که مربوط به جنبش سبز در ایران.",Green Movement / Protest / 2009 Elections,جنبش سبز / تظاهرات / انتخابات ۱۳۸۸,,,Official trailer of a movie about the Green Movement in Iran.,تیزر فیلمی مربوط به جنبش سبز در ایران.,moving image,digital moving image formats / video recordings,در قالب ویدیو دیجیتالی / در قالب ویدیو دیجیتالی ,"35.69439, 51.42151"
khiz0029.mp4,۱۳۸۹/۱۱/۲۵,2/14/2011,2011-02-14,,,,,Iran,ایران,"This video shows photos of Iranians protesting all over the globe on February 14, 2011.",این ویدیو عکسهای تظاهرات ایرانیان در سراسر جهان در روز ۲۵ بهمن سال ۱۳۸۹ را نشان میدهد.,Protest,تظاهرات,,,Iranian Protesting all over the Globe,تظاهرات ایرانیان در سرا سر جهان.,moving image,digital moving image formats / video recordings,در قالب ویدیو دیجیتالی / در قالب ویدیو دیجیتالی ,"35.69439, 51.42151"
khiz0030.mp4,۱۳۸۸/۱۱/۰۹,1/29/2010,2010-01-29,,,Tehran,تهران,Iran,ایران,This video shows Iranian students protesting and chanting “students would rather die than be degraded.”,"این ویدیو دانشجویان ایرانی‌ در حال تظاهرات و سر دادن شعار ""دانشجو می‌میرد، ذلت نمی‌پذیرد"" را نشان میدهد.",Protest,تظاهرات,,,Protest in Tehran,تظاهرات در تهران,moving image,digital moving image formats / video recordings,در قالب ویدیو دیجیتالی / در قالب ویدیو دیجیتالی ,"35.69439, 51.42151"
khiz0031.mp4,۱۳۸۸,2009,2009,,,Tehran,تهران,Iran,ایران,"This video shows Iranian protesters chanting slogans against the government such as “Don’t be afraid; we are all together,” and “Down with the dictator.”","این ویدیو تظاهر کنندگان ایرانی‌ در حال سر دادن شعارهای ""مرگ بر دیکتاتور"" و ""نترسید، نترسید، ما همه باهم هستیم"" را نشان میدهد.",Protest,تظاهرات,,,Protest in Tehran,تظاهرات در تهران,moving image,digital moving image formats / video recordings,در قالب ویدیو دیجیتالی / در قالب ویدیو دیجیتالی ,"35.69439, 51.42151"
khiz0032.mp4,۱۳۸۸,2009,2009,,,Tehran,تهران,Iran,ایران,"This video shows Iranian protesters chanting slogans against the government such as “Don’t be afraid; we are all together,” and “Ya Hossein, Mir Hossein.”","این ویدیو تظاهر کنندگان ایرانی‌ در حال سر دادن شعارهایی همچون ""نترسید نترسید، ما همه با هم هستیم"" و ""یا حسین، میر حسین"" را نشان میدهد.",Protest,تظاهرات,,,Protest in Tehran,تظاهرات در تهران,moving image,digital moving image formats / video recordings,در قالب ویدیو دیجیتالی / در قالب ویدیو دیجیتالی ,"35.69439, 51.42151"
khiz0033.mp4,۱۳۸۸,2009,2009,,,Tehran,تهران,Iran,ایران,This video shows Iranian students protesting and chanting against the government such as “students would rather die than be disgraced.”,"این ویدیو دانشجویان ایرانی‌ در حال تظاهرات و سر دادن شعار ""دانشجو می‌میرد، ذلت نمی‌پذیرد"" را نشان میدهد.",Protest,تظاهرات,,,Protest in Tehran,تظاهرات در تهران,moving image,digital moving image formats / video recordings,در قالب ویدیو دیجیتالی / در قالب ویدیو دیجیتالی ,"35.69439, 51.42151"
khiz0034.mp4,۱۳۸۸/۰۳/۳۰,6/20/2009,2009-06-20,Tohid Sq,میدان توحید,Tehran,تهران,Iran,ایران,This video shows Iranian protesters chanting “Allahu Akbar (God is [the] Greatest).”,"این ویدیو تظاهر کنندگان ایرانی‌ در حال سر دادن شعار ""الله اکبر"" را نشان میدهد.",Protest,تظاهرات,,,Protest in Tehran,تظاهرات در تهران,moving image,digital moving image formats / video recordings,در قالب ویدیو دیجیتالی / در قالب ویدیو دیجیتالی ,"35.706408, 51.377952"
khiz0035.mp4,۱۳۸۸,2009,2009,,,Tehran,تهران,Iran,ایران,"Siavash Ghomeishi, an Iranian singer and song writer, released a song named “Hang in there my friend” to show his support of the Green Movement in Iran.","سیاوش قمیشی، خواننده و آهنگساز ایرانی‌، آهنگی به نامه ""طاقت بیار رفیق"" منتشر کرد تا حمایت خود از جنبش سبز را نشان دهد.",Tribute,یادبود,Siavash Ghomeishi,سیاوش قمیشی,A Song in Support of the Green Movement,ترانه ای در حمایت از جنبش سبز,moving image,digital moving image formats / video recordings,در قالب ویدیو دیجیتالی / در قالب ویدیو دیجیتالی ,"35.69439, 51.42151"
